pair_stem,base,next,origin,docx_source_base,docx_source_next,redline_docx,redline_docx_word,accepted_docx,pdf_redline,pdf_accepted,missing
behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc,behavior__math_all_objects_36ab389c,behavior__math_delimiter_tests_c9d034dc,superdoc_chain,behavior__math_all_objects_36ab389c.docx,behavior__math_delimiter_tests_c9d034dc.docx,behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc_redline.docx,,MISSING,behavior__math_all_objects_36ab389c_behavior__math_delimiter_tests_c9d034dc_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__diff_before8_ba5faa9e_super_editor__diff_before9_9818a85f,super_editor__diff_before8_ba5faa9e,super_editor__diff_before9_9818a85f,superdoc_chain,super_editor__diff_before8_ba5faa9e.docx,super_editor__diff_before9_9818a85f.docx,super_editor__diff_before8_ba5faa9e_super_editor__diff_before9_9818a85f_redline.docx,,MISSING,super_editor__diff_before8_ba5faa9e_super_editor__diff_before9_9818a85f_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__diff_before9_9818a85f_super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98,super_editor__diff_before9_9818a85f,super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98,superdoc_chain,super_editor__diff_before9_9818a85f.docx,super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98.docx,super_editor__diff_before9_9818a85f_super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98_redline.docx,,MISSING,super_editor__diff_before9_9818a85f_super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98_super_editor__doc_with_spaces_from_styles_734ca26f,super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98,super_editor__doc_with_spaces_from_styles_734ca26f,superdoc_chain,super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98.docx,super_editor__doc_with_spaces_from_styles_734ca26f.docx,super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98_super_editor__doc_with_spaces_from_styles_734ca26f_redline.docx,,MISSING,super_editor__doc_with_graphs_diagrams_rotated_ef2e2f98_super_editor__doc_with_spaces_from_styles_734ca26f_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__doc_with_spaces_from_styles_734ca26f_super_editor__doc_with_spacing_e3d47bd7,super_editor__doc_with_spaces_from_styles_734ca26f,super_editor__doc_with_spacing_e3d47bd7,superdoc_chain,super_editor__doc_with_spaces_from_styles_734ca26f.docx,super_editor__doc_with_spacing_e3d47bd7.docx,super_editor__doc_with_spaces_from_styles_734ca26f_super_editor__doc_with_spacing_e3d47bd7_redline.docx,,MISSING,super_editor__doc_with_spaces_from_styles_734ca26f_super_editor__doc_with_spacing_e3d47bd7_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__doc_with_spacing_e3d47bd7_super_editor__dropcaps_520cd049,super_editor__doc_with_spacing_e3d47bd7,super_editor__dropcaps_520cd049,superdoc_chain,super_editor__doc_with_spacing_e3d47bd7.docx,super_editor__dropcaps_520cd049.docx,super_editor__doc_with_spacing_e3d47bd7_super_editor__dropcaps_520cd049_redline.docx,,MISSING,super_editor__doc_with_spacing_e3d47bd7_super_editor__dropcaps_520cd049_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__dropcaps_520cd049_super_editor__exported_list_font_8e6db734,super_editor__dropcaps_520cd049,super_editor__exported_list_font_8e6db734,superdoc_chain,super_editor__dropcaps_520cd049.docx,super_editor__exported_list_font_8e6db734.docx,super_editor__dropcaps_520cd049_super_editor__exported_list_font_8e6db734_redline.docx,,MISSING,super_editor__dropcaps_520cd049_super_editor__exported_list_font_8e6db734_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__exported_list_font_8e6db734_super_editor__exporttest_68b3b898,super_editor__exported_list_font_8e6db734,super_editor__exporttest_68b3b898,superdoc_chain,super_editor__exported_list_font_8e6db734.docx,super_editor__exporttest_68b3b898.docx,super_editor__exported_list_font_8e6db734_super_editor__exporttest_68b3b898_redline.docx,,MISSING,super_editor__exported_list_font_8e6db734_super_editor__exporttest_68b3b898_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__exporttest_68b3b898_super_editor__features_redlines_comments_annotation_769ed131,super_editor__exporttest_68b3b898,super_editor__features_redlines_comments_annotation_769ed131,superdoc_chain,super_editor__exporttest_68b3b898.docx,super_editor__features_redlines_comments_annotation_769ed131.docx,super_editor__exporttest_68b3b898_super_editor__features_redlines_comments_annotation_769ed131_redline.docx,,MISSING,super_editor__exporttest_68b3b898_super_editor__features_redlines_comments_annotation_769ed131_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__features_redlines_comments_annotation_769ed131_super_editor__fields_test_4a8ffd8c,super_editor__features_redlines_comments_annotation_769ed131,super_editor__fields_test_4a8ffd8c,superdoc_chain,super_editor__features_redlines_comments_annotation_769ed131.docx,super_editor__fields_test_4a8ffd8c.docx,super_editor__features_redlines_comments_annotation_769ed131_super_editor__fields_test_4a8ffd8c_redline.docx,,MISSING,super_editor__features_redlines_comments_annotation_769ed131_super_editor__fields_test_4a8ffd8c_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__fields_test_4a8ffd8c_super_editor__fields_attrs1_83837249,super_editor__fields_test_4a8ffd8c,super_editor__fields_attrs1_83837249,superdoc_chain,super_editor__fields_test_4a8ffd8c.docx,super_editor__fields_attrs1_83837249.docx,super_editor__fields_test_4a8ffd8c_super_editor__fields_attrs1_83837249_redline.docx,,MISSING,super_editor__fields_test_4a8ffd8c_super_editor__fields_attrs1_83837249_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__fields_attrs1_83837249_super_editor__fields_attrs2_fonts_ebd792fb,super_editor__fields_attrs1_83837249,super_editor__fields_attrs2_fonts_ebd792fb,superdoc_chain,super_editor__fields_attrs1_83837249.docx,super_editor__fields_attrs2_fonts_ebd792fb.docx,super_editor__fields_attrs1_83837249_super_editor__fields_attrs2_fonts_ebd792fb_redline.docx,,MISSING,super_editor__fields_attrs1_83837249_super_editor__fields_attrs2_fonts_ebd792fb_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__fields_attrs2_fonts_ebd792fb_super_editor__font_formatting_runs_8be3565a,super_editor__fields_attrs2_fonts_ebd792fb,super_editor__font_formatting_runs_8be3565a,superdoc_chain,super_editor__fields_attrs2_fonts_ebd792fb.docx,super_editor__font_formatting_runs_8be3565a.docx,super_editor__fields_attrs2_fonts_ebd792fb_super_editor__font_formatting_runs_8be3565a_redline.docx,,MISSING,super_editor__fields_attrs2_fonts_ebd792fb_super_editor__font_formatting_runs_8be3565a_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__font_formatting_runs_8be3565a_super_editor__gdocs_comments_export_4c0bfa04,super_editor__font_formatting_runs_8be3565a,super_editor__gdocs_comments_export_4c0bfa04,superdoc_chain,super_editor__font_formatting_runs_8be3565a.docx,super_editor__gdocs_comments_export_4c0bfa04.docx,super_editor__font_formatting_runs_8be3565a_super_editor__gdocs_comments_export_4c0bfa04_redline.docx,,MISSING,super_editor__font_formatting_runs_8be3565a_super_editor__gdocs_comments_export_4c0bfa04_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__gdocs_comments_export_4c0bfa04_super_editor__gdocs_single_comment_ac5db87f,super_editor__gdocs_comments_export_4c0bfa04,super_editor__gdocs_single_comment_ac5db87f,superdoc_chain,super_editor__gdocs_comments_export_4c0bfa04.docx,super_editor__gdocs_single_comment_ac5db87f.docx,super_editor__gdocs_comments_export_4c0bfa04_super_editor__gdocs_single_comment_ac5db87f_redline.docx,,MISSING,super_editor__gdocs_comments_export_4c0bfa04_super_editor__gdocs_single_comment_ac5db87f_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__gdocs_single_comment_ac5db87f_super_editor__gdocs_tracked_changes_3c1de315,super_editor__gdocs_single_comment_ac5db87f,super_editor__gdocs_tracked_changes_3c1de315,superdoc_chain,super_editor__gdocs_single_comment_ac5db87f.docx,super_editor__gdocs_tracked_changes_3c1de315.docx,super_editor__gdocs_single_comment_ac5db87f_super_editor__gdocs_tracked_changes_3c1de315_redline.docx,,MISSING,super_editor__gdocs_single_comment_ac5db87f_super_editor__gdocs_tracked_changes_3c1de315_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__gdocs_tracked_changes_3c1de315_super_editor__h_f_normal_odd_even_firstpg_9b210d9a,super_editor__gdocs_tracked_changes_3c1de315,super_editor__h_f_normal_odd_even_firstpg_9b210d9a,superdoc_chain,super_editor__gdocs_tracked_changes_3c1de315.docx,super_editor__h_f_normal_odd_even_firstpg_9b210d9a.docx,super_editor__gdocs_tracked_changes_3c1de315_super_editor__h_f_normal_odd_even_firstpg_9b210d9a_redline.docx,,MISSING,super_editor__gdocs_tracked_changes_3c1de315_super_editor__h_f_normal_odd_even_firstpg_9b210d9a_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__h_f_normal_odd_even_firstpg_9b210d9a_super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9,super_editor__h_f_normal_odd_even_firstpg_9b210d9a,super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9,superdoc_chain,super_editor__h_f_normal_odd_even_firstpg_9b210d9a.docx,super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9.docx,super_editor__h_f_normal_odd_even_firstpg_9b210d9a_super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9_redline.docx,,MISSING,super_editor__h_f_normal_odd_even_firstpg_9b210d9a_super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9_super_editor__h_f_normal_odd_even_b572e46d,super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9,super_editor__h_f_normal_odd_even_b572e46d,superdoc_chain,super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9.docx,super_editor__h_f_normal_odd_even_b572e46d.docx,super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9_super_editor__h_f_normal_odd_even_b572e46d_redline.docx,,MISSING,super_editor__h_f_normal_odd_even_unchecked_first_p_817ad6e9_super_editor__h_f_normal_odd_even_b572e46d_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__h_f_normal_odd_even_b572e46d_super_editor__h_f_normal_5d2a8d96,super_editor__h_f_normal_odd_even_b572e46d,super_editor__h_f_normal_5d2a8d96,superdoc_chain,super_editor__h_f_normal_odd_even_b572e46d.docx,super_editor__h_f_normal_5d2a8d96.docx,super_editor__h_f_normal_odd_even_b572e46d_super_editor__h_f_normal_5d2a8d96_redline.docx,,MISSING,super_editor__h_f_normal_odd_even_b572e46d_super_editor__h_f_normal_5d2a8d96_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__h_f_normal_5d2a8d96_super_editor__header_alternating_odd_even_11e01996,super_editor__h_f_normal_5d2a8d96,super_editor__header_alternating_odd_even_11e01996,superdoc_chain,super_editor__h_f_normal_5d2a8d96.docx,super_editor__header_alternating_odd_even_11e01996.docx,super_editor__h_f_normal_5d2a8d96_super_editor__header_alternating_odd_even_11e01996_redline.docx,,MISSING,super_editor__h_f_normal_5d2a8d96_super_editor__header_alternating_odd_even_11e01996_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__header_alternating_odd_even_11e01996_super_editor__heading_font_46041620,super_editor__header_alternating_odd_even_11e01996,super_editor__heading_font_46041620,superdoc_chain,super_editor__header_alternating_odd_even_11e01996.docx,super_editor__heading_font_46041620.docx,super_editor__header_alternating_odd_even_11e01996_super_editor__heading_font_46041620_redline.docx,,MISSING,super_editor__header_alternating_odd_even_11e01996_super_editor__heading_font_46041620_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__heading_font_46041620_super_editor__hummingbird_c5e5ac81,super_editor__heading_font_46041620,super_editor__hummingbird_c5e5ac81,superdoc_chain,super_editor__heading_font_46041620.docx,super_editor__hummingbird_c5e5ac81.docx,super_editor__heading_font_46041620_super_editor__hummingbird_c5e5ac81_redline.docx,,MISSING,super_editor__heading_font_46041620_super_editor__hummingbird_c5e5ac81_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__hummingbird_c5e5ac81_super_editor__hyperlink_multiple_runs_0138c312,super_editor__hummingbird_c5e5ac81,super_editor__hyperlink_multiple_runs_0138c312,superdoc_chain,super_editor__hummingbird_c5e5ac81.docx,super_editor__hyperlink_multiple_runs_0138c312.docx,super_editor__hummingbird_c5e5ac81_super_editor__hyperlink_multiple_runs_0138c312_redline.docx,,MISSING,super_editor__hummingbird_c5e5ac81_super_editor__hyperlink_multiple_runs_0138c312_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__hyperlink_multiple_runs_0138c312_super_editor__hyperlink_node_52b7695b,super_editor__hyperlink_multiple_runs_0138c312,super_editor__hyperlink_node_52b7695b,superdoc_chain,super_editor__hyperlink_multiple_runs_0138c312.docx,super_editor__hyperlink_node_52b7695b.docx,super_editor__hyperlink_multiple_runs_0138c312_super_editor__hyperlink_node_52b7695b_redline.docx,,MISSING,super_editor__hyperlink_multiple_runs_0138c312_super_editor__hyperlink_node_52b7695b_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__hyperlink_node_52b7695b_super_editor__hyperlink_node_internal_1c0232f9,super_editor__hyperlink_node_52b7695b,super_editor__hyperlink_node_internal_1c0232f9,superdoc_chain,super_editor__hyperlink_node_52b7695b.docx,super_editor__hyperlink_node_internal_1c0232f9.docx,super_editor__hyperlink_node_52b7695b_super_editor__hyperlink_node_internal_1c0232f9_redline.docx,,MISSING,super_editor__hyperlink_node_52b7695b_super_editor__hyperlink_node_internal_1c0232f9_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__hyperlink_node_internal_1c0232f9_super_editor__image_inline_and_block_ad6109b3,super_editor__hyperlink_node_internal_1c0232f9,super_editor__image_inline_and_block_ad6109b3,superdoc_chain,super_editor__hyperlink_node_internal_1c0232f9.docx,super_editor__image_inline_and_block_ad6109b3.docx,super_editor__hyperlink_node_internal_1c0232f9_super_editor__image_inline_and_block_ad6109b3_redline.docx,,MISSING,super_editor__hyperlink_node_internal_1c0232f9_super_editor__image_inline_and_block_ad6109b3_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__image_inline_and_block_ad6109b3_super_editor__image_out_of_folder_19763c1d,super_editor__image_inline_and_block_ad6109b3,super_editor__image_out_of_folder_19763c1d,superdoc_chain,super_editor__image_inline_and_block_ad6109b3.docx,super_editor__image_out_of_folder_19763c1d.docx,super_editor__image_inline_and_block_ad6109b3_super_editor__image_out_of_folder_19763c1d_redline.docx,,MISSING,super_editor__image_inline_and_block_ad6109b3_super_editor__image_out_of_folder_19763c1d_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__image_out_of_folder_19763c1d_super_editor__image_doc_c7d007ac,super_editor__image_out_of_folder_19763c1d,super_editor__image_doc_c7d007ac,superdoc_chain,super_editor__image_out_of_folder_19763c1d.docx,super_editor__image_doc_c7d007ac.docx,super_editor__image_out_of_folder_19763c1d_super_editor__image_doc_c7d007ac_redline.docx,,MISSING,super_editor__image_out_of_folder_19763c1d_super_editor__image_doc_c7d007ac_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__image_doc_c7d007ac_super_editor__image_p_spacing_9b211fd7,super_editor__image_doc_c7d007ac,super_editor__image_p_spacing_9b211fd7,superdoc_chain,super_editor__image_doc_c7d007ac.docx,super_editor__image_p_spacing_9b211fd7.docx,super_editor__image_doc_c7d007ac_super_editor__image_p_spacing_9b211fd7_redline.docx,,MISSING,super_editor__image_doc_c7d007ac_super_editor__image_p_spacing_9b211fd7_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__image_p_spacing_9b211fd7_super_editor__instrtext_angled_brackets_bug_ed56f1fe,super_editor__image_p_spacing_9b211fd7,super_editor__instrtext_angled_brackets_bug_ed56f1fe,superdoc_chain,super_editor__image_p_spacing_9b211fd7.docx,super_editor__instrtext_angled_brackets_bug_ed56f1fe.docx,super_editor__image_p_spacing_9b211fd7_super_editor__instrtext_angled_brackets_bug_ed56f1fe_redline.docx,,MISSING,super_editor__image_p_spacing_9b211fd7_super_editor__instrtext_angled_brackets_bug_ed56f1fe_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__instrtext_angled_brackets_bug_ed56f1fe_super_editor__invalid_list_def_fallback_d7f55451,super_editor__instrtext_angled_brackets_bug_ed56f1fe,super_editor__invalid_list_def_fallback_d7f55451,superdoc_chain,super_editor__instrtext_angled_brackets_bug_ed56f1fe.docx,super_editor__invalid_list_def_fallback_d7f55451.docx,super_editor__instrtext_angled_brackets_bug_ed56f1fe_super_editor__invalid_list_def_fallback_d7f55451_redline.docx,,MISSING,super_editor__instrtext_angled_brackets_bug_ed56f1fe_super_editor__invalid_list_def_fallback_d7f55451_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__invalid_list_def_fallback_d7f55451_super_editor__line_break_627a7159,super_editor__invalid_list_def_fallback_d7f55451,super_editor__line_break_627a7159,superdoc_chain,super_editor__invalid_list_def_fallback_d7f55451.docx,super_editor__line_break_627a7159.docx,super_editor__invalid_list_def_fallback_d7f55451_super_editor__line_break_627a7159_redline.docx,,MISSING,super_editor__invalid_list_def_fallback_d7f55451_super_editor__line_break_627a7159_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__line_break_627a7159_super_editor__line_space_table_9b1ee54b,super_editor__line_break_627a7159,super_editor__line_space_table_9b1ee54b,superdoc_chain,super_editor__line_break_627a7159.docx,super_editor__line_space_table_9b1ee54b.docx,super_editor__line_break_627a7159_super_editor__line_space_table_9b1ee54b_redline.docx,,MISSING,super_editor__line_break_627a7159_super_editor__line_space_table_9b1ee54b_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__line_space_table_9b1ee54b_super_editor__list_def_mix_d7cec092,super_editor__line_space_table_9b1ee54b,super_editor__list_def_mix_d7cec092,superdoc_chain,super_editor__line_space_table_9b1ee54b.docx,super_editor__list_def_mix_d7cec092.docx,super_editor__line_space_table_9b1ee54b_super_editor__list_def_mix_d7cec092_redline.docx,,MISSING,super_editor__line_space_table_9b1ee54b_super_editor__list_def_mix_d7cec092_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__list_def_mix_d7cec092_super_editor__list_numbering_reimport_d788d573,super_editor__list_def_mix_d7cec092,super_editor__list_numbering_reimport_d788d573,superdoc_chain,super_editor__list_def_mix_d7cec092.docx,super_editor__list_numbering_reimport_d788d573.docx,super_editor__list_def_mix_d7cec092_super_editor__list_numbering_reimport_d788d573_redline.docx,,MISSING,super_editor__list_def_mix_d7cec092_super_editor__list_numbering_reimport_d788d573_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__list_numbering_reimport_d788d573_super_editor__list_spacer1_06383c66,super_editor__list_numbering_reimport_d788d573,super_editor__list_spacer1_06383c66,superdoc_chain,super_editor__list_numbering_reimport_d788d573.docx,super_editor__list_spacer1_06383c66.docx,super_editor__list_numbering_reimport_d788d573_super_editor__list_spacer1_06383c66_redline.docx,,MISSING,super_editor__list_numbering_reimport_d788d573_super_editor__list_spacer1_06383c66_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__list_spacer1_06383c66_super_editor__list_with_break_exported_broken_45f7bd19,super_editor__list_spacer1_06383c66,super_editor__list_with_break_exported_broken_45f7bd19,superdoc_chain,super_editor__list_spacer1_06383c66.docx,super_editor__list_with_break_exported_broken_45f7bd19.docx,super_editor__list_spacer1_06383c66_super_editor__list_with_break_exported_broken_45f7bd19_redline.docx,,MISSING,super_editor__list_spacer1_06383c66_super_editor__list_with_break_exported_broken_45f7bd19_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__list_with_break_exported_broken_45f7bd19_super_editor__list_with_break_from_word_5cc0d638,super_editor__list_with_break_exported_broken_45f7bd19,super_editor__list_with_break_from_word_5cc0d638,superdoc_chain,super_editor__list_with_break_exported_broken_45f7bd19.docx,super_editor__list_with_break_from_word_5cc0d638.docx,super_editor__list_with_break_exported_broken_45f7bd19_super_editor__list_with_break_from_word_5cc0d638_redline.docx,,MISSING,super_editor__list_with_break_exported_broken_45f7bd19_super_editor__list_with_break_from_word_5cc0d638_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__list_with_break_from_word_5cc0d638_super_editor__list_with_table_break_ff0c4c1f,super_editor__list_with_break_from_word_5cc0d638,super_editor__list_with_table_break_ff0c4c1f,superdoc_chain,super_editor__list_with_break_from_word_5cc0d638.docx,super_editor__list_with_table_break_ff0c4c1f.docx,super_editor__list_with_break_from_word_5cc0d638_super_editor__list_with_table_break_ff0c4c1f_redline.docx,,MISSING,super_editor__list_with_break_from_word_5cc0d638_super_editor__list_with_table_break_ff0c4c1f_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__list_with_table_break_ff0c4c1f_super_editor__listWithSpacerNodes_cf53e890,super_editor__list_with_table_break_ff0c4c1f,super_editor__listWithSpacerNodes_cf53e890,superdoc_chain,super_editor__list_with_table_break_ff0c4c1f.docx,super_editor__listWithSpacerNodes_cf53e890.docx,super_editor__list_with_table_break_ff0c4c1f_super_editor__listWithSpacerNodes_cf53e890_redline.docx,,MISSING,super_editor__list_with_table_break_ff0c4c1f_super_editor__listWithSpacerNodes_cf53e890_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__listWithSpacerNodes_cf53e890_super_editor__list_with_indents_efc7d4f5,super_editor__listWithSpacerNodes_cf53e890,super_editor__list_with_indents_efc7d4f5,superdoc_chain,super_editor__listWithSpacerNodes_cf53e890.docx,super_editor__list_with_indents_efc7d4f5.docx,super_editor__listWithSpacerNodes_cf53e890_super_editor__list_with_indents_efc7d4f5_redline.docx,,MISSING,super_editor__listWithSpacerNodes_cf53e890_super_editor__list_with_indents_efc7d4f5_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__list_with_indents_efc7d4f5_super_editor__lists_sub_paragraph_31ff3fed,super_editor__list_with_indents_efc7d4f5,super_editor__lists_sub_paragraph_31ff3fed,superdoc_chain,super_editor__list_with_indents_efc7d4f5.docx,super_editor__lists_sub_paragraph_31ff3fed.docx,super_editor__list_with_indents_efc7d4f5_super_editor__lists_sub_paragraph_31ff3fed_redline.docx,,MISSING,super_editor__list_with_indents_efc7d4f5_super_editor__lists_sub_paragraph_31ff3fed_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__lists_sub_paragraph_31ff3fed_super_editor__longer_header_sign_area_7c80b525,super_editor__lists_sub_paragraph_31ff3fed,super_editor__longer_header_sign_area_7c80b525,superdoc_chain,super_editor__lists_sub_paragraph_31ff3fed.docx,super_editor__longer_header_sign_area_7c80b525.docx,super_editor__lists_sub_paragraph_31ff3fed_super_editor__longer_header_sign_area_7c80b525_redline.docx,,MISSING,super_editor__lists_sub_paragraph_31ff3fed_super_editor__longer_header_sign_area_7c80b525_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__longer_header_sign_area_7c80b525_super_editor__missing_sectpr_967a402d,super_editor__longer_header_sign_area_7c80b525,super_editor__missing_sectpr_967a402d,superdoc_chain,super_editor__longer_header_sign_area_7c80b525.docx,super_editor__missing_sectpr_967a402d.docx,super_editor__longer_header_sign_area_7c80b525_super_editor__missing_sectpr_967a402d_redline.docx,,MISSING,super_editor__longer_header_sign_area_7c80b525_super_editor__missing_sectpr_967a402d_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__missing_sectpr_967a402d_super_editor__missing_separator_41c823b9,super_editor__missing_sectpr_967a402d,super_editor__missing_separator_41c823b9,superdoc_chain,super_editor__missing_sectpr_967a402d.docx,super_editor__missing_separator_41c823b9.docx,super_editor__missing_sectpr_967a402d_super_editor__missing_separator_41c823b9_redline.docx,,MISSING,super_editor__missing_sectpr_967a402d_super_editor__missing_separator_41c823b9_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__missing_separator_41c823b9_super_editor__msword_tracked_changes_4794adc4,super_editor__missing_separator_41c823b9,super_editor__msword_tracked_changes_4794adc4,superdoc_chain,super_editor__missing_separator_41c823b9.docx,super_editor__msword_tracked_changes_4794adc4.docx,super_editor__missing_separator_41c823b9_super_editor__msword_tracked_changes_4794adc4_redline.docx,,MISSING,super_editor__missing_separator_41c823b9_super_editor__msword_tracked_changes_4794adc4_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__msword_tracked_changes_4794adc4_super_editor__multi_section_doc_080d2655,super_editor__msword_tracked_changes_4794adc4,super_editor__multi_section_doc_080d2655,superdoc_chain,super_editor__msword_tracked_changes_4794adc4.docx,super_editor__multi_section_doc_080d2655.docx,super_editor__msword_tracked_changes_4794adc4_super_editor__multi_section_doc_080d2655_redline.docx,,MISSING,super_editor__msword_tracked_changes_4794adc4_super_editor__multi_section_doc_080d2655_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__multi_section_doc_080d2655_super_editor__multiple_nodes_in_list_79d915a2,super_editor__multi_section_doc_080d2655,super_editor__multiple_nodes_in_list_79d915a2,superdoc_chain,super_editor__multi_section_doc_080d2655.docx,super_editor__multiple_nodes_in_list_79d915a2.docx,super_editor__multi_section_doc_080d2655_super_editor__multiple_nodes_in_list_79d915a2_redline.docx,,MISSING,super_editor__multi_section_doc_080d2655_super_editor__multiple_nodes_in_list_79d915a2_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__multiple_nodes_in_list_79d915a2_super_editor__nested_comments_gdocs_0c8668e1,super_editor__multiple_nodes_in_list_79d915a2,super_editor__nested_comments_gdocs_0c8668e1,superdoc_chain,super_editor__multiple_nodes_in_list_79d915a2.docx,super_editor__nested_comments_gdocs_0c8668e1.docx,super_editor__multiple_nodes_in_list_79d915a2_super_editor__nested_comments_gdocs_0c8668e1_redline.docx,,MISSING,super_editor__multiple_nodes_in_list_79d915a2_super_editor__nested_comments_gdocs_0c8668e1_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__nested_comments_gdocs_0c8668e1_super_editor__nested_comments_84f214bb,super_editor__nested_comments_gdocs_0c8668e1,super_editor__nested_comments_84f214bb,superdoc_chain,super_editor__nested_comments_gdocs_0c8668e1.docx,super_editor__nested_comments_84f214bb.docx,super_editor__nested_comments_gdocs_0c8668e1_super_editor__nested_comments_84f214bb_redline.docx,,MISSING,super_editor__nested_comments_gdocs_0c8668e1_super_editor__nested_comments_84f214bb_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__nested_comments_84f214bb_super_editor__numwords_393421eb,super_editor__nested_comments_84f214bb,super_editor__numwords_393421eb,superdoc_chain,super_editor__nested_comments_84f214bb.docx,super_editor__numwords_393421eb.docx,super_editor__nested_comments_84f214bb_super_editor__numwords_393421eb_redline.docx,,MISSING,super_editor__nested_comments_84f214bb_super_editor__numwords_393421eb_redline.pdf,MISSING,accepted_docx; pdf_accepted
super_editor__numwords_393421eb_super_editor__ooxml_bold_rstyle_linked_combos_demo_90819822,super_editor__numwords_393421eb,super_editor__ooxml_bold_rstyle_linked_combos_demo_90819822,superdoc_chain,super_editor__numwords_393421eb.docx,super_editor__ooxml_bold_rstyle_linked_combos_demo_90819822.docx,super_editor__numwords_393421eb_super_editor__ooxml_bold_rstyle_linked_combos_demo_90819822_redline.docx,,MISSING,super_editor__numwords_393421eb_super_editor__ooxml_bold_rstyle_linked_combos_demo_90819822_redline.pdf,MISSING,accepted_docx; pdf_accepted
